word,current_avatar,upstream_sigml_filename_match
MORE,fingerspelling,yes_unreviewed
MORNING,fingerspelling,yes_unreviewed
MUTE,fingerspelling,no
MUTED,fingerspelling,no
MY,fingerspelling,yes_unreviewed
NAMASTE,fingerspelling,no
NAME,fingerspelling,yes_unreviewed
NEED,fingerspelling,yes_unreviewed
NEEDED,fingerspelling,no
NEEDS,fingerspelling,no
NEUROLOGY,fingerspelling,no
NEW,fingerspelling,yes_unreviewed
NEXT,fingerspelling,yes_unreviewed
NO,fingerspelling,yes_unreviewed
NOT,fingerspelling,no
NOTES,fingerspelling,no
NOW,fingerspelling,yes_unreviewed
NUMBER,fingerspelling,yes_unreviewed
OBSERVATIONS,fingerspelling,no
OCR,fingerspelling,no
OF,fingerspelling,no
OFF,fingerspelling,no
ON,fingerspelling,yes_unreviewed
ONBOARDING,fingerspelling,no
ONCE,fingerspelling,no
ONE,fingerspelling,yes_unreviewed
ONLINE,fingerspelling,no
ONLY,fingerspelling,no
OPEN,fingerspelling,yes_unreviewed
OPTION,fingerspelling,no
OPTIONAL,fingerspelling,no
OPTIONS,fingerspelling,no
OR,fingerspelling,yes_unreviewed
ORGANIZED,fingerspelling,no
ORTHOPEDICS,fingerspelling,no
OTHER,fingerspelling,no
OTHERS,fingerspelling,no
OTP,fingerspelling,no
OUR,fingerspelling,yes_unreviewed
OUT,fingerspelling,yes_unreviewed
OVERVIEW,fingerspelling,no
OWN,fingerspelling,yes_unreviewed
PAIN,fingerspelling,no
PAIRING,fingerspelling,no
PANELS,fingerspelling,no
PARACETAMOL,fingerspelling,no
PARTICIPANT,fingerspelling,no
PAST,fingerspelling,yes_unreviewed
PATIENT,fingerspelling,no
PAYMENT,fingerspelling,no
PDF,fingerspelling,no
PEDIATRICS,fingerspelling,no
PERSON,word_animation,yes_unreviewed
PERSONAL,fingerspelling,no
PERSONALIZED,fingerspelling,no
PHONE,fingerspelling,yes_unreviewed
PHOTO,fingerspelling,no
PHYSICIAN,fingerspelling,no
PLACE,fingerspelling,no
PLAN,fingerspelling,yes_unreviewed
PLEASE,fingerspelling,yes_unreviewed
PNG,fingerspelling,no
PORTAL,fingerspelling,no
PRACTITIONER,fingerspelling,no
PREFER,fingerspelling,no
PREFERENCE,fingerspelling,no
PREFERENCES,fingerspelling,no
PREFERRED,fingerspelling,no
PREPARED,fingerspelling,no
PRESCRIPTION,fingerspelling,no
PRESCRIPTIONS,fingerspelling,no
PRESSURE,fingerspelling,no
PREVIOUS,fingerspelling,no
PRIMARY,fingerspelling,no
PRIVATE,fingerspelling,no
PROCEDURE,fingerspelling,no
PROCEDURES,fingerspelling,no
PROCESSED,fingerspelling,no
PROCESSING,fingerspelling,no
PROFESSIONALS,fingerspelling,no
PROFILE,fingerspelling,no
PROGRESS,fingerspelling,no
PROMPTED,fingerspelling,no
PROMPTS,fingerspelling,no
PROTECTED,fingerspelling,no
PROVIDED,fingerspelling,no
PROVIDERS,fingerspelling,no
QR,fingerspelling,no
QUERY,fingerspelling,no
QUESTION,fingerspelling,yes_unreviewed
QUESTIONS,fingerspelling,no
QUICK,fingerspelling,yes_unreviewed
RADIOLOGY,fingerspelling,no
RASH,fingerspelling,no
RATING,fingerspelling,no
READ,fingerspelling,yes_unreviewed
REASON,fingerspelling,no
RECEIVE,fingerspelling,yes_unreviewed
RECENT,fingerspelling,no
RECOGNIZABLE,fingerspelling,no
RECOMMEND,fingerspelling,no
RECOMMENDED,fingerspelling,no
RECORD,fingerspelling,no
RECORDED,fingerspelling,no
RECORDING,fingerspelling,no
RECORDS,fingerspelling,no
REDIRECTING,fingerspelling,no
REFERENCE,fingerspelling,no
REGARDING,fingerspelling,no
REGION,fingerspelling,no
REGIONAL,fingerspelling,no
REGISTERED,fingerspelling,no
RELATED,fingerspelling,no
RELEVANCE,fingerspelling,no
REMINDER,fingerspelling,no
REMINDERS,fingerspelling,no
REMOTE,fingerspelling,no
REPLY,fingerspelling,no
REPORT,fingerspelling,no
REPORTED,fingerspelling,no
REPORTS,fingerspelling,no
REPOSITORY,fingerspelling,no
REQUEST,fingerspelling,no
REQUIRED,fingerspelling,no
RESEND,fingerspelling,no
RESET,fingerspelling,no
RESPONSES,fingerspelling,no
RESULT,fingerspelling,yes_unreviewed
RESULTS,fingerspelling,no
RETRY,fingerspelling,no
RETURN,fingerspelling,no
REVIEW,fingerspelling,no
REVIEWS,fingerspelling,no
REVOKE,fingerspelling,no
REVOKED,fingerspelling,no
REVOKING,fingerspelling,no
ROOM,fingerspelling,no
RX,fingerspelling,no
S,fingerspelling,yes_unreviewed
SAFE,fingerspelling,no
SAID,fingerspelling,no
SALINE,fingerspelling,no
SAT,fingerspelling,no
SAVE,fingerspelling,yes_unreviewed
SAVED,fingerspelling,no
SAVING,fingerspelling,no
SAYS,fingerspelling,no
SCAN,fingerspelling,no
SCANS,fingerspelling,no
SCHEDULE,fingerspelling,no
SCHEDULED,fingerspelling,no
SCREEN,fingerspelling,yes_unreviewed
SCREENS,fingerspelling,no
SEAMLESSLY,fingerspelling,no
SEARCH,fingerspelling,yes_unreviewed
SEARCHABLE,fingerspelling,no
SECURE,fingerspelling,no
SECURED,fingerspelling,no
SECURELY,fingerspelling,no
SELECT,fingerspelling,no
SELECTED,fingerspelling,no
SEND,fingerspelling,yes_unreviewed
SENDING,fingerspelling,no
SENT,fingerspelling,no
SERVICES,fingerspelling,no
SESSION,fingerspelling,no
SESSIONS,fingerspelling,no
SET,fingerspelling,no
SETTINGS,fingerspelling,no
SHARE,fingerspelling,no
SHOULD,fingerspelling,no
SHOWING,fingerspelling,no
SIMPLE,fingerspelling,no
SIZE,fingerspelling,no
SKIN,fingerspelling,no
SKIP,fingerspelling,no
SMALL,fingerspelling,no
SMOOTHER,fingerspelling,no
SMS,fingerspelling,no
SORT,fingerspelling,no
SOURCE,fingerspelling,no
SPEAK,fingerspelling,no
SPECIAL,fingerspelling,no
SPECIALIST,fingerspelling,no
SPECIALISTS,fingerspelling,no
SPECIALIZATION,fingerspelling,no
SPECIALIZATIONS,fingerspelling,no
SPECIALTIES,fingerspelling,no
SPEECH,fingerspelling,no
STANDARD,fingerspelling,no
STARRED,fingerspelling,no
START,fingerspelling,no
STARTED,fingerspelling,no
STARTING,fingerspelling,no
STATE,fingerspelling,no
STATUS,fingerspelling,no
STAY,fingerspelling,yes_unreviewed
STEP,fingerspelling,no
STEPS,fingerspelling,no
STILL,fingerspelling,no
STOMACH,fingerspelling,no
STOP,fingerspelling,no
STORED,fingerspelling,no
